1,clk_drv:0x00 ,q_drv:0x00 ,d_drv:0x00 ,cs0_drv:0x00 ,hd_drv:0x00 ,wp_drv:0x00,0,0,0
158,1.657 ,1.279 ,11.583 ,0.000 ,-0.001 ,-0.000,0,0,0
159,1.663 ,1.297 ,11.524 ,-0.000 ,0.000 ,-0.001,0,0,0
160,1.651 ,1.292 ,11.548 ,0.000 ,-0.000 ,-0.000,0,0,0
161,1.668 ,1.268 ,11.566 ,0.000 ,-0.001 ,-0.000,0,0,0
162,1.633 ,1.283 ,11.559 ,0.000 ,-0.000 ,0.000,0,0,0
163,1.659 ,1.289 ,11.553 ,0.001 ,-0.000 ,-0.000,0,0,0
164,1.647 ,1.261 ,11.544 ,-0.000 ,0.001 ,0.000,0,0,0
165,1.638 ,1.264 ,11.550 ,-0.000 ,0.000 ,0.001,0,0,0
166,1.651 ,1.273 ,11.577 ,-0.001 ,0.001 ,-0.000,0,0,0
167,1.628 ,1.283 ,11.552 ,-0.001 ,0.001 ,0.000,0,0,0
168,1.641 ,1.281 ,11.564 ,-0.000 ,0.001 ,0.000,0,0,0
169,1.649 ,1.270 ,11.578 ,-0.000 ,0.001 ,-0.000,0,0,0
170,1.647 ,1.285 ,11.559 ,0.000 ,0.000 ,-0.000,0,0,0
171,1.620 ,1.272 ,11.539 ,0.000 ,0.000 ,0.000,0,0,0
172,1.628 ,1.278 ,11.566 ,0.000 ,0.000 ,0.000,0,0,0
173,1.634 ,1.288 ,11.568 ,-0.000 ,0.000 ,0.000,0,0,0
174,1.641 ,1.264 ,11.569 ,-0.000 ,0.001 ,0.001,0,0,0
175,1.640 ,1.254 ,11.562 ,0.000 ,-0.001 ,-0.000,0,0,0
176,1.648 ,1.282 ,11.557 ,0.000 ,-0.001 ,-0.001,0,0,0
177,1.652 ,1.283 ,11.550 ,-0.001 ,0.000 ,0.001,0,0,0
178,1.656 ,1.282 ,11.586 ,0.001 ,-0.000 ,0.000,0,0,0
179,1.638 ,1.284 ,11.521 ,0.000 ,0.001 ,0.000,0,0,0
180,1.646 ,1.258 ,11.563 ,0.000 ,-0.001 ,-0.000,0,0,0
181,1.657 ,1.286 ,11.547 ,0.000 ,-0.000 ,-0.000,0,0,0
182,1.656 ,1.278 ,11.563 ,-0.000 ,-0.000 ,0.000,0,0,0
183,1.643 ,1.270 ,11.578 ,-0.000 ,0.000 ,-0.000,0,0,0
184,1.653 ,1.294 ,11.576 ,0.001 ,-0.000 ,-0.000,0,0,0
185,1.660 ,1.271 ,11.518 ,-0.000 ,0.000 ,-0.001,0,0,0
186,1.653 ,1.283 ,11.566 ,-0.000 ,-0.000 ,0.000,0,0,0
187,1.632 ,1.259 ,11.581 ,0.001 ,-0.000 ,-0.000,0,0,0
188,1.629 ,1.277 ,11.573 ,0.000 ,-0.000 ,-0.000,0,0,0
189,1.655 ,1.279 ,11.550 ,0.001 ,0.000 ,0.000,0,0,0
190,1.655 ,1.285 ,11.591 ,0.001 ,-0.000 ,-0.001,0,0,0
191,1.639 ,1.266 ,11.534 ,-0.000 ,-0.000 ,-0.000,0,0,0
192,1.666 ,1.264 ,11.547 ,0.001 ,0.001 ,0.000,0,0,0
193,1.652 ,1.282 ,11.548 ,0.001 ,0.000 ,-0.000,0,0,0
194,1.644 ,1.270 ,11.563 ,0.000 ,0.001 ,-0.001,0,0,0
